playersnds/grenade1 sounds/player/SAY_GRN1
playersnds/grenade2 sounds/player/SAY_GRN2
playersnds/grenade3 sounds/player/SAY_GRN3
playersnds/grenade4 sounds/player/SAY_GRN4
playersnds/grenade5 sounds/player/SAY_GRN5
playersnds/grenade6 sounds/player/SAY_GRN6
playersnds/grenade7 sounds/player/SAY_GRN7
playersnds/grenade8 sounds/player/SAY_GRN8
playersnds/grenade9 sounds/player/SAY_GRN9
playersnds/grenade10 sounds/player/SAY_GRN10
playersnds/betty1   sounds/player/SAY_TRP1
playersnds/betty2   sounds/player/SAY_TRP2
playersnds/betty3   sounds/player/SAY_TRP3
playersnds/kill1    sounds/player/SAY_KIL1
playersnds/kill2    sounds/player/SAY_KIL2
playersnds/kill3    sounds/player/SAY_KIL3
playersnds/kill4    sounds/player/SAY_KIL4
playersnds/kill5    sounds/player/SAY_KIL5
playersnds/kill6    sounds/player/SAY_KIL6
playersnds/kill7    sounds/player/SAY_KIL7
playersnds/attack1  sounds/player/SAY_ATK1
playersnds/attack2  sounds/player/SAY_ATK2
playersnds/attack3  sounds/player/SAY_ATK3
playersnds/attack4  sounds/player/SAY_ATK4
playersnds/attack5  sounds/player/SAY_ATK5
playersnds/attack6  sounds/player/SAY_ATK6
playersnds/attack7  sounds/player/SAY_ATK7
playersnds/attack8  sounds/player/SAY_ATK8
playersnds/rel1     sounds/player/SAY_REL1
playersnds/rel2     sounds/player/SAY_REL2
playersnds/rel3     sounds/player/SAY_REL3
playersnds/rel4     sounds/player/SAY_REL4
playersnds/rel5     sounds/player/SAY_REL5
playersnds/rec1     sounds/player/PLAYFINE1
playersnds/rec2     sounds/player/PLAYFINE2
playersnds/hurt1    sounds/player/PLAYHURT1
playersnds/hurt2    sounds/player/PLAYHURT2
playersnds/hurt3    sounds/player/PLAYHURT3
playersnds/bad1     sounds/player/PLAYBAD1
playersnds/bad2     sounds/player/PLAYBAD2
playersnds/bad3     sounds/player/PLAYBAD3
playersnds/bad4     sounds/player/PLAYBAD4
playersnds/bad5     sounds/player/PLAYBAD5
